347.443	0	1339.92	0	126500	0
0	2206.63	0	-19860	0	-11110
1339.92	0	61730	0	292000	0
0	-19860	0	1647000	0	341600
126500	0	292000	0	83550000	0
0	-11110	0	341600	0	5115000
427.74	0	1431.94	0	137800	0
0	2050.79	0	-18440	0	-11810
1431.94	0	61560	0	382700	0
0	-18440	0	1645000	0	262500
137800	0	382700	0	88660000	0
0	-11810	0	262500	0	4658000
348.212	0	1382.74	0	124300	0
0	1952.3	0	-16900	0	-14590
1382.74	0	60120	0	315400	0
0	-16900	0	1643000	0	274200
124300	0	315400	0	83740000	0
0	-14590	0	274200	0	4614000
347.531	0	1404.43	0	120400	0
0	1926.46	0	-14830	0	-14840
1404.43	0	59200	0	307300	0
0	-14830	0	1641000	0	286300
120400	0	307300	0	82390000	0
0	-14840	0	286300	0	4838000
366.899	0	1434.23	0	117700	0
0	1206.65	0	-12890	0	-16760
1434.23	0	58110	0	302800	0
0	-12890	0	1648000	0	338400
117700	0	302800	0	81190000	0
0	-16760	0	338400	0	4932000
374.12	0	1412.72	0	115800	0
0	1768.16	0	-12280	0	-13340
1412.72	0	57640	0	291500	0
0	-12280	0	1646000	0	340200
115800	0	291500	0	80350000	0
0	-13340	0	340200	0	5262000
385.293	0	1455.32	0	117000	0
0	1915.33	0	-11660	0	-11450
1455.32	0	57440	0	296900	0
0	-11660	0	1647000	0	357900
117000	0	296900	0	80770000	0
0	-11450	0	357900	0	5554000
397.552	0	1440.38	0	115800	0
0	2031.46	0	-11010	0	-9306.06
1440.38	0	56900	0	283800	0
0	-11010	0	1648000	0	380600
115800	0	283800	0	80110000	0
0	-9306.06	0	380600	0	5863000
408.045	0	1463.13	0	116500	0
0	2151.96	0	-10380	0	-6727.1
1463.13	0	56810	0	298000	0
0	-10380	0	1650000	0	403600
116500	0	298000	0	80140000	0
0	-6727.1	0	403600	0	6204000
414.355	0	1510.79	0	118000	0
0	2284.6	0	-9818.98	0	-3683.15
1510.79	0	56630	0	305500	0
0	-9818.98	0	1651000	0	424700
118000	0	305500	0	81180000	0
0	-3683.15	0	424700	0	6594000
435.041	0	1476.41	0	116600	0
0	2431.75	0	-9279.9	0	-121.123
1476.41	0	56150	0	293900	0
0	-9279.9	0	1654000	0	447600
116600	0	293900	0	79890000	0
0	-121.123	0	447600	0	7057000
450.509	0	1484.33	0	117000	0
0	2597.95	0	-8676.99	0	4065.13
1484.33	0	55880	0	299700	0
0	-8676.99	0	1658000	0	477600
117000	0	299700	0	79800000	0
0	4065.13	0	477600	0	7602000
467.324	0	1493.12	0	116400	0
0	2790.55	0	-7985.78	0	8904.74
1493.12	0	56120	0	293800	0
0	-7985.78	0	1662000	0	515400
116400	0	293800	0	79070000	0
0	8904.74	0	515400	0	8208000
486.786	0	1492.03	0	117600	0
0	3016.29	0	-7299.09	0	14310
1492.03	0	54050	0	306600	0
0	-7299.09	0	1666000	0	553900
117600	0	306600	0	79170000	0
0	14310	0	553900	0	8840000
507.146	0	1497.05	0	118500	0
0	3275.94	0	-6779.81	0	20100
1497.05	0	54180	0	304300	0
0	-6779.81	0	1667000	0	584500
118500	0	304300	0	79150000	0
0	20100	0	584500	0	9485000
528.83	0	1500.05	0	119700	0
0	3563.13	0	-6531.32	0	26050
1500.05	0	53890	0	305300	0
0	-6531.32	0	1668000	0	605500
119700	0	305300	0	79190000	0
0	26050	0	605500	0	10160000
552.199	0	1503.54	0	121000	0
0	3871.26	0	-6508.24	0	32100
1503.54	0	53540	0	307100	0
0	-6508.24	0	1670000	0	623600
121000	0	307100	0	79290000	0
0	32100	0	623600	0	10920000
577.274	0	1508.49	0	122600	0
0	4200.88	0	-6574.99	0	38280
1508.49	0	53180	0	309500	0
0	-6574.99	0	1675000	0	647400
122600	0	309500	0	79390000	0
0	38280	0	647400	0	11750000
603.697	0	1513.5	0	124400	0
0	4560.32	0	-6637.19	0	44570
1513.5	0	52850	0	312600	0
0	-6637.19	0	1683000	0	678500
124400	0	312600	0	79460000	0
0	44570	0	678500	0	12630000
631.063	0	1515.41	0	126400	0
0	4960.46	0	-6722.07	0	50820
1515.41	0	52530	0	316200	0
0	-6722.07	0	1693000	0	709200
126400	0	316200	0	79490000	0
0	50820	0	709200	0	13510000
659.272	0	1511.34	0	128500	0
0	5407.43	0	-6966.48	0	56760
1511.34	0	52210	0	320200	0
0	-6966.48	0	1701000	0	729000
128500	0	320200	0	79550000	0
0	56760	0	729000	0	14360000
688.649	0	1500.96	0	130700	0
0	5899.8	0	-7524.35	0	62100
1500.96	0	51880	0	324700	0
0	-7524.35	0	1707000	0	733700
130700	0	324700	0	79730000	0
0	62100	0	733700	0	15190000
719.874	0	1487.53	0	133100	0
0	6433.45	0	-8467.37	0	66740
1487.53	0	51530	0	329400	0
0	-8467.37	0	1711000	0	729500
133100	0	329400	0	80120000	0
0	66740	0	729500	0	16060000
753.782	0	1476.89	0	136100	0
0	7009.48	0	-9777.73	0	70800
1476.89	0	51180	0	334400	0
0	-9777.73	0	1714000	0	727600
136100	0	334400	0	80740000	0
0	70800	0	727600	0	17000000
791.15	0	1474.56	0	140000	0
0	7637.39	0	-11430	0	74470
1474.56	0	50850	0	339500	0
0	-11430	0	1718000	0	736800
140000	0	339500	0	81540000	0
0	74470	0	736800	0	18030000
832.473	0	1483.06	0	144900	0
0	8330.75	0	-13440	0	77980
1483.06	0	50590	0	344900	0
0	-13440	0	1727000	0	758200
144900	0	344900	0	82440000	0
0	77980	0	758200	0	19100000
877.573	0	1500.6	0	150600	0
0	9099.48	0	-15870	0	81510
1500.6	0	50420	0	350700	0
0	-15870	0	1740000	0	784600
150600	0	350700	0	83330000	0
0	81510	0	784600	0	20180000
925.151	0	1521.61	0	156600	0
0	9945.64	0	-18760	0	85120
1521.61	0	50350	0	357000	0
0	-18760	0	1758000	0	804200
156600	0	357000	0	84180000	0
0	85120	0	804200	0	21270000
972.792	0	1538.48	0	162300	0
0	10860	0	-22100	0	88690
1538.48	0	50390	0	363900	0
0	-22100	0	1779000	0	809400
162300	0	363900	0	84990000	0
0	88690	0	809400	0	22410000
1017.59	0	1544.08	0	167300	0
0	11850	0	-25840	0	92070
1544.08	0	50510	0	371100	0
0	-25840	0	1801000	0	801900
167300	0	371100	0	85870000	0
0	92070	0	801900	0	23710000
1057.09	0	1534.63	0	171400	0
0	12900	0	-29910	0	95260
1534.63	0	50690	0	378500	0
0	-29910	0	1823000	0	792000
171400	0	378500	0	86980000	0
0	95260	0	792000	0	25240000
1090.03	0	1511.57	0	174900	0
0	14010	0	-34280	0	98420
1511.57	0	50890	0	385900	0
0	-34280	0	1843000	0	791900
174900	0	385900	0	88540000	0
0	98420	0	791900	0	27020000
1116.8	0	1481.26	0	178700	0
0	15210	0	-38990	0	101800
1481.26	0	51130	0	393400	0
0	-38990	0	1863000	0	810400
178700	0	393400	0	90740000	0
0	101800	0	810400	0	28980000
1139.77	0	1452.73	0	183800	0
0	16500	0	-44170	0	105400
1452.73	0	51430	0	401000	0
0	-44170	0	1883000	0	850000
183800	0	401000	0	93790000	0
0	105400	0	850000	0	30980000
1163.23	0	1435.02	0	191600	0
0	17880	0	-49970	0	109300
1435.02	0	51830	0	409100	0
0	-49970	0	1904000	0	905800
191600	0	409100	0	97780000	0
0	109300	0	905800	0	32820000
1192.38	0	1435.17	0	203000	0
0	19320	0	-56470	0	113400
1435.17	0	52390	0	417800	0
0	-56470	0	1929000	0	968000
203000	0	417800	0	102700000	0
0	113400	0	968000	0	34300000
1231.53	0	1457.12	0	218300	0
0	20750	0	-63570	0	117500
1457.12	0	53170	0	427400	0
0	-63570	0	1958000	0	1024000
218300	0	427400	0	108300000	0
0	117500	0	1024000	0	35290000
1282.57	0	1501.4	0	237300	0
0	22100	0	-70940	0	121100
1501.4	0	54260	0	438200	0
0	-70940	0	1991000	0	1063000
237300	0	438200	0	114500000	0
0	121100	0	1063000	0	35720000
1344.39	0	1564.87	0	258900	0
0	23260	0	-78120	0	124000
1564.87	0	55720	0	450700	0
0	-78120	0	2025000	0	1081000
258900	0	450700	0	120900000	0
0	124000	0	1081000	0	35610000
1413.63	0	1641.03	0	282200	0
0	24160	0	-84530	0	125800
1641.03	0	57630	0	465600	0
0	-84530	0	2058000	0	1076000
282200	0	465600	0	127400000	0
0	125800	0	1076000	0	35060000
1485.83	0	1720.86	0	305800	0
0	24730	0	-89700	0	126100
1720.86	0	60010	0	483000	0
0	-89700	0	2088000	0	1054000
305800	0	483000	0	133700000	0
0	126100	0	1054000	0	34200000
