203.777	0	19830	0	249400	0
0	-50820	0	297400	0	319900
142100	0	249400	0	39290000	0
0	72480	0	319900	0	18220000
787.2	0	182.523	0	140800	0
0	14170	0	-51430	0	68250
182.523	0	20590	0	248400	0
0	-51430	0	294100	0	298000
140800	0	248400	0	40100000	0
0	68250	0	298000	0	17720000
751.839	0	162.411	0	139700	0
0	13870	0	-51680	0	64150
162.411	0	21290	0	246900	0
0	-51680	0	287900	0	290300
139700	0	246900	0	41110000	0
0	64150	0	290300	0	17160000
716.21	0	150.497	0	139300	0
0	13510	0	-51600	0	60260
150.497	0	21960	0	245000	0
0	-51600	0	280100	0	294600
139300	0	245000	0	42300000	0
0	60260	0	294600	0	16420000
683.168	0	151.339	0	140200	0
0	13070	0	-51260	0	56500
151.339	0	22630	0	243000	0
0	-51260	0	271900	0	303300
140200	0	243000	0	43550000	0
0	56500	0	303300	0	15420000
655.006	0	165.652	0	142200	0
0	12550	0	-50650	0	52730
165.652	0	23310	0	241000	0
0	-50650	0	264000	0	307300
142200	0	241000	0	44720000	0
0	52730	0	307300	0	14110000
632.665	0	190.615	0	144900	0
0	11920	0	-49700	0	48790
190.615	0	24020	0	239000	0
0	-49700	0	256600	0	299000
144900	0	239000	0	45590000	0
0	48790	0	299000	0	12500000
615.122	0	221.116	0	147500	0
0	11160	0	-48220	0	44570
221.116	0	24760	0	237100	0
0	-48220	0	248900	0	274600
147500	0	237100	0	45950000	0
0	44570	0	274600	0	10670000
599.524	0	251.124	0	149000	0
0	10250	0	-46030	0	39990
251.124	0	25510	0	235200	0
0	-46030	0	239500	0	235600
149000	0	235200	0	45680000	0
0	39990	0	235600	0	8750000
582.204	0	274.815	0	148400	0
0	9195.92	0	-43000	0	35060
274.815	0	26260	0	233400	0
0	-43000	0	226900	0	187400
148400	0	233400	0	44720000	0
0	35060	0	187400	0	6888000
559.981	0	287.464	0	145400	0
0	8037.75	0	-39120	0	29860
287.464	0	26940	0	231600	0
0	-39120	0	210400	0	137300
145400	0	231600	0	43110000	0
0	29860	0	137300	0	5204000
531.011	0	286.234	0	139800	0
0	6826.54	0	-34560	0	24620
286.234	0	27500	0	229300	0
0	-34560	0	189800	0	92070
139800	0	229300	0	40920000	0
0	24620	0	92070	0	3780000
494.971	0	270.833	0	131800	0
0	5628.29	0	-29580	0	19630
270.833	0	27880	0	226400	0
0	-29580	0	166100	0	55650
131800	0	226400	0	38250000	0
0	19630	0	55650	0	2647000
452.76	0	243.625	0	121700	0
0	4507.25	0	-24540	0	15160
243.625	0	28030	0	222200	0
0	-24540	0	141000	0	29240
121700	0	222200	0	35180000	0
0	15160	0	29240	0	1793000
406.044	0	208.875	0	110100	0
0	3513.24	0	-19760	0	11390
208.875	0	27910	0	216600	0
0	-19760	0	116100	0	11900
110100	0	216600	0	31830000	0
0	11390	0	11900	0	1181000
356.844	0	171.402	0	97510	0
0	2674.05	0	-15500	0	8354.87
171.402	0	27530	0	209600	0
0	-15500	0	93120	0	1646.12
97510	0	209600	0	28290000	0
0	8354.87	0	1646.12	0	758500
307.234	0	135.295	0	84560	0
0	1995.13	0	-11890	0	6021.05
135.295	0	26910	0	201200	0
0	-11890	0	72920	0	-3676.12
84560	0	201200	0	24710000	0
0	6021.05	0	-3676.12	0	477600
259.126	0	103.229	0	71800	0
0	1464.84	0	-8951.93	0	4281.63
103.229	0	26080	0	191800	0
0	-8951.93	0	55980	0	-5882.99
71800	0	191800	0	21180000	0
0	4281.63	0	-5882.99	0	295700
214.108	0	76.445	0	59700	0
0	1061.88	0	-6639.07	0	3015.5
76.445	0	25080	0	181700	0
0	-6639.07	0	42270	0	-6304.96
59700	0	181700	0	17830000	0
0	3015.5	0	-6304.96	0	180600
173.338	0	55.1051	0	48620	0
